id,user_cpf,card_number,card_type,card_brand,bin,expiry,expiry_short,is_activated,is_blocked,nickname,created_at,updated_at
00357339-41ce-4456-bd3b-18794b4e098a,67154864257,**** **** **** 2884,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:50.825Z,2026-07-24T13:09:50.825Z
03f50ce9-2661-488d-b5bf-963dc7636aeb,48431018434,**** **** **** 3752,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:47.099Z,2026-07-24T13:09:47.099Z
049882d1-7f0a-41bb-9759-a539c4720169,18011225638,**** **** **** 6661,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:50.015Z,2026-07-24T13:09:50.015Z
04f462d2-6c37-434c-82f7-160f8a58d3bd,77148062578,**** **** **** 5516,physical,hipercard,60628200,07/2031,07/31,false,false,,2026-08-01T02:38:53.780Z,2026-08-01T02:38:53.780Z
084855b5-7c46-409f-b9e9-37ef6bf527ea,42718533218,**** **** **** 5007,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:49.159Z,2026-07-24T13:09:49.159Z
0bc547e6-9dc1-4e03-8e56-5f318846364b,26986473966,**** **** **** 9625,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:47.931Z,2026-07-24T13:09:47.931Z
0d3f8c04-776d-475a-9940-b0421c35c126,82474679928,**** **** **** 7609,physical,hipercard,60628200,07/2031,07/31,false,false,,2026-08-17T00:09:28.936Z,2026-08-17T00:09:28.936Z
0e3b51c3-7668-4e58-a344-93e86fff8db5,49768246758,**** **** **** 6160,physical,hipercard,60628200,07/2031,07/31,true,false,,2026-08-14T23:42:24.510Z,2026-08-14T23:42:24.510Z
150d5a38-ae47-44a4-a38d-be035f7d50ff,38160081359,**** **** **** 3753,physical,hipercard,60628200,07/2031,07/31,false,false,,2026-07-29T23:50:09.427Z,2026-07-29T23:50:09.427Z
160d779d-bc86-432f-b5ff-35a3828f2b71,77751515015,**** **** **** 0263,physical,amex,37828000,07/2031,07/31,true,false,,2026-08-09T01:55:15.359Z,2026-08-09T01:55:15.359Z
1d396665-8a48-47cc-be61-ebb01add8249,87111008855,**** **** **** 1287,physical,mastercard,54427460,07/2031,07/31,false,false,,2026-08-17T00:33:50.635Z,2026-08-17T00:33:50.635Z
1e136a22-0191-493e-9260-96366d57209f,95654548522,**** **** **** 7352,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:50.920Z,2026-07-24T13:09:50.920Z
1e59cdc4-aa40-4db8-b41f-73fcfb37bd9e,77529588591,**** **** **** 0293,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:50.141Z,2026-07-24T13:09:50.141Z
1ee03df7-3330-45ce-a714-0f9188717283,18956389652,**** **** **** 0590,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:50.591Z,2026-07-24T13:09:50.591Z
1ffd3c2b-4f55-4efd-b230-aec044a7724a,11111111111,**** **** **** 1435,physical,mastercard,5981012,12/2030,06/31,true,false,,2026-07-16T00:15:24.265Z,2026-07-16T00:15:24.265Z
2188327a-0401-40a9-9406-c79a2d839f05,17693911189,**** **** **** 7574,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:49.239Z,2026-07-24T13:09:49.239Z
24d6db36-bb3b-44f6-ac85-9a517aaa2a43,77777777777,**** **** **** 1888,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:51.160Z,2026-07-24T13:09:51.160Z
281fdf82-bf65-4e5f-8b80-298992d9d74d,73857513853,**** **** **** 3682,physical,visa,45767460,07/2031,07/31,false,false,,2026-08-03T23:34:07.847Z,2026-08-03T23:34:07.847Z
2a5a8b99-1bb5-4eeb-93e0-087310b77415,25713468361,**** **** **** 7624,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:50.103Z,2026-07-24T13:09:50.103Z
2b61af68-330e-4a8e-a907-07686eae6479,33522298364,**** **** **** 6976,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:49.732Z,2026-07-24T13:09:49.732Z
2b8aac19-0bbd-4377-a348-c7179f744065,76671725950,**** **** **** 1188,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:47.717Z,2026-07-24T13:09:47.717Z
2ba64bde-3cb3-4c31-ab48-05a61ffff42c,60107482754,**** **** **** 4469,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:48.054Z,2026-07-24T13:09:48.054Z
2d93310c-d789-4edc-8f93-40a2419510aa,20250513611,**** **** **** 5678,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:49.196Z,2026-07-24T13:09:49.196Z
2ef3a4ae-fb50-480e-ac04-d1cd007efe0f,93852856961,**** **** **** 6483,physical,mastercard,54427460,07/2031,07/31,true,false,,2026-07-24T13:09:47.268Z,2026-07-24T13:09:47.268Z
