id,cpf,status,due_date,created_at,updated_at,valor_total,data_pagamento,dias_atraso,valor_juros,valor_multa,valor_total_com_encargos,saldo_anterior,valor_iof,valor_juros_remuneratorios,valor_juros_mora,itemized_transactions,valor_pago,data_ultimo_pagamento
061e65c6-43f5-4c64-b6fc-ddf2b46285c7,42975897884,FECHADA,2026-08-10T18:00:00.000Z,2026-08-04T00:02:55.680Z,2026-08-20T03:00:06.236Z,1453.29,,10,0.00,29.07,,0.00,5.88,22.38,1.44,"[{""id"":""8c609077-a3a9-4a3d-885c-74eb2e3b1e41"",""date"":""2026-07-26T00:55:47.228Z"",""amount"":166.55,""merchant"":""Posto Shell"",""type"":""CREDIT""},{""id"":""d685116b-8b5a-49c8-8bd9-71ecd8cbb855"",""date"":""2026-07-25T00:55:47.222Z"",""amount"":249.83,""merchant"":""Zara"",""type"":""CREDIT""},{""id"":""a8eceea7-f8bf-4cb9-a81d-8a5850defc20"",""date"":""2026-07-24T16:09:49.704Z"",""amount"":156.41,""merchant"":""Amazon BR"",""type"":""CREDIT""},{""id"":""854da5e7-fe52-4438-9b5e-4be0af5b156d"",""date"":""2026-07-22T00:55:47.216Z"",""amount"":333.1,""merchant"":""Amazon BR"",""type"":""CREDIT""},{""id"":""68569398-d67f-42d4-a0ab-05c7e1235e17"",""date"":""2026-07-21T16:09:49.694Z"",""amount"":312.8,""merchant"":""iFood"",""type"":""CREDIT""},{""id"":""99d6fdaa-6ff3-4ee5-b5bf-bb6fcc44ea83"",""date"":""2026-07-18T16:09:49.700Z"",""amount"":234.6,""merchant"":""Netflix"",""type"":""CREDIT""}]",0.00,
067dae40-3a3f-4a03-93ef-b543584aa6d9,43838315910,FECHADA,2026-08-10T18:00:00.000Z,2026-08-04T00:02:53.817Z,2026-08-20T03:00:06.236Z,1480.62,,10,0.00,29.61,,0.00,5.99,22.80,1.47,"[{""id"":""132e4633-71ed-4f25-94dd-32365f5a7b1f"",""date"":""2026-07-22T00:55:44.418Z"",""amount"":230.88,""merchant"":""Farmacia Pague Menos"",""type"":""CREDIT""},{""id"":""48afa1cc-b19d-4881-8ac9-960713322135"",""date"":""2026-07-22T00:55:44.414Z"",""amount"":307.84,""merchant"":""Zara"",""type"":""CREDIT""},{""id"":""0ea4a7e4-510b-4004-ae76-368cfb2d1d86"",""date"":""2026-07-20T16:09:48.124Z"",""amount"":175.11,""merchant"":""Spotify"",""type"":""CREDIT""},{""id"":""c548eaa3-5b4c-49f4-914b-c7d0948f66d1"",""date"":""2026-07-19T16:09:48.119Z"",""amount"":262.66,""merchant"":""Posto Shell"",""type"":""CREDIT""},{""id"":""b8970c1e-ee14-469f-864f-5203a8220fe5"",""date"":""2026-07-19T16:09:48.115Z"",""amount"":350.21,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""98079eef-4fec-4bcb-96ac-7a28f68a4425"",""date"":""2026-07-19T00:55:44.422Z"",""amount"":153.92,""merchant"":""Mercado Livre"",""type"":""CREDIT""}]",0.00,
085eecda-d9a3-4572-b0e4-21ba5b174d16,72856446096,FECHADA,2026-08-10T18:00:00.000Z,2026-08-04T00:02:58.407Z,2026-08-20T03:00:06.236Z,1385.14,,10,0.00,77.42,,3870.86,22.33,476.59,30.94,"[{""id"":""d419cec9-66c0-45e8-a5b1-13fb2c966ff5"",""date"":""2026-07-26T00:55:47.588Z"",""amount"":96.68,""merchant"":""Spotify"",""type"":""CREDIT""},{""id"":""c8ef5c5a-70eb-4a5f-8ddd-381fbc29561d"",""date"":""2026-07-22T16:09:49.953Z"",""amount"":211.13,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""456e6e26-f5f3-4d2e-8359-a6cb4072b6be"",""date"":""2026-07-22T00:55:47.583Z"",""amount"":145.02,""merchant"":""iFood"",""type"":""CREDIT""},{""id"":""b83a208c-e763-48b9-88e2-dd38d35d7e06"",""date"":""2026-07-21T00:55:47.577Z"",""amount"":193.36,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""64a27a2e-d056-4811-bd06-c6f724fad270"",""date"":""2026-07-20T16:09:49.949Z"",""amount"":316.69,""merchant"":""Magazine Luiza"",""type"":""CREDIT""},{""id"":""5f094938-cfea-4c2a-ac5b-a3f5f7e173a0"",""date"":""2026-07-19T16:09:49.945Z"",""amount"":422.26,""merchant"":""Spotify"",""type"":""CREDIT""}]",0.00,
0a3ab2cf-df1a-47f5-ae40-53b937a37e39,20092389589,FECHADA,2026-07-28T18:00:00.000Z,2026-08-12T23:40:40.509Z,2026-08-20T03:00:06.236Z,3870.86,,23,0.00,77.42,,0.00,19.47,297.86,19.33,"[{""id"":""79d9de14-8737-46aa-a67b-69e6bff5dc14"",""date"":""2026-07-21T15:00:00.000Z"",""amount"":1720.38,""merchant"":""Mercado Livre"",""type"":""CREDIT""},{""id"":""a3a79924-6801-47d7-937a-809688b50e5c"",""date"":""2026-07-18T15:00:00.000Z"",""amount"":1290.29,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""53ff956e-a0d0-4d61-bd8b-f718cf4049b1"",""date"":""2026-07-20T15:00:00.000Z"",""amount"":860.19,""merchant"":""Netflix"",""type"":""CREDIT""}]",0.00,
0ca9df5d-9f87-456e-896b-28181f500ce5,11879646706,FECHADA,2026-08-10T21:00:00.000Z,2026-08-04T00:02:51.531Z,2026-08-15T03:00:53.499Z,1651.69,,0,0.00,33.03,,0.00,6.70,25.41,1.65,"[{""id"":""36f34e38-2100-4c89-8839-bb7c131ffe7a"",""date"":""2026-07-24T20:07:38.989Z"",""amount"":312.91,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""fb0d3be6-c581-481c-b508-f7b13b9850ef"",""date"":""2026-07-24T00:55:43.741Z"",""amount"":158.44,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""50a7dfc4-f54b-4f9f-a510-081358fddf10"",""date"":""2026-07-24T00:55:43.733Z"",""amount"":316.87,""merchant"":""iFood"",""type"":""CREDIT""},{""id"":""12e2b05d-cbf5-4818-a2fc-7f5783354841"",""date"":""2026-07-20T20:07:38.999Z"",""amount"":208.61,""merchant"":""Magazine Luiza"",""type"":""CREDIT""},{""id"":""a52ff9f6-f606-48fd-b596-3b9675f57c0b"",""date"":""2026-07-20T00:55:43.737Z"",""amount"":237.65,""merchant"":""Farmacia Pague Menos"",""type"":""CREDIT""},{""id"":""8da7cce4-8fe3-43dd-995b-44fb5224c2da"",""date"":""2026-07-19T20:07:38.981Z"",""amount"":417.21,""merchant"":""Mercado Livre"",""type"":""CREDIT""}]",0.00,
0d683a06-6f84-49b7-bf0e-40f22a983038,43204282856,FECHADA,2026-08-10T18:00:00.000Z,2026-08-04T00:02:58.909Z,2026-08-20T03:00:06.236Z,1470.42,,10,0.00,29.41,,0.00,5.95,22.62,1.47,"[{""id"":""cb01a7b1-cfd5-4d04-9252-039f46fd75fa"",""date"":""2026-07-26T00:55:48.531Z"",""amount"":313.72,""merchant"":""Farmacia Pague Menos"",""type"":""CREDIT""},{""id"":""c4e96024-2569-4641-9233-5ad300b95853"",""date"":""2026-07-24T16:09:50.654Z"",""amount"":117.62,""merchant"":""Mercado Livre"",""type"":""CREDIT""},{""id"":""b924c290-3541-4fbd-9bcb-00ec7cbab87c"",""date"":""2026-07-24T00:55:48.526Z"",""amount"":418.29,""merchant"":""iFood"",""type"":""CREDIT""},{""id"":""8c570177-ed3a-40fc-9603-0aca2f056eef"",""date"":""2026-07-21T16:09:50.651Z"",""amount"":176.42,""merchant"":""Amazon BR"",""type"":""CREDIT""},{""id"":""73015450-6481-4269-b836-fb4e0f49eb66"",""date"":""2026-07-19T00:55:48.535Z"",""amount"":209.14,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""b28f2c38-6f00-41c6-ac34-65d59dfec158"",""date"":""2026-07-17T16:09:50.647Z"",""amount"":235.23,""merchant"":""Posto Shell"",""type"":""CREDIT""}]",0.00,
0ebe4df1-a494-4235-b30a-feba5834a3fa,77355277308,FECHADA,2026-08-10T18:00:00.000Z,2026-08-04T00:02:53.956Z,2026-08-20T03:00:06.236Z,1080.25,,10,0.00,21.61,,0.00,4.37,16.62,1.08,"[{""id"":""56595187-2ea8-4eed-a931-ea2be7ee0fd6"",""date"":""2026-07-24T16:09:48.251Z"",""amount"":195.84,""merchant"":""Netflix"",""type"":""CREDIT""},{""id"":""b9f972ff-0f88-4ff3-8740-2eab69b6f0f6"",""date"":""2026-07-24T16:09:48.240Z"",""amount"":261.12,""merchant"":""Posto Shell"",""type"":""CREDIT""},{""id"":""56809548-a2ed-4258-aeb6-6d74e90941e3"",""date"":""2026-07-20T00:55:44.452Z"",""amount"":164.24,""merchant"":""Farmacia Pague Menos"",""type"":""CREDIT""},{""id"":""b58a5e93-9a42-4a3e-b89a-fd87d65c6cf5"",""date"":""2026-07-20T00:55:44.447Z"",""amount"":218.99,""merchant"":""Netflix"",""type"":""CREDIT""},{""id"":""760b1113-1508-41a8-b1a3-8a24cc6063e4"",""date"":""2026-07-19T00:55:44.456Z"",""amount"":109.49,""merchant"":""Farmacia Pague Menos"",""type"":""CREDIT""},{""id"":""bdcb188c-3e1b-4731-8d9d-f02180d2ea92"",""date"":""2026-07-18T16:09:48.255Z"",""amount"":130.57,""merchant"":""Magazine Luiza"",""type"":""CREDIT""}]",0.00,
0ffa2a7f-fdb5-4fcf-aaa9-41a41e8a44a0,19231521659,FECHADA,2026-08-10T18:00:00.000Z,2026-08-04T00:02:59.341Z,2026-08-20T03:00:06.236Z,871.52,,10,0.00,17.43,,0.00,3.52,13.41,0.87,"[{""id"":""2d825f0c-7a21-40f4-a587-4abe9bf61b99"",""date"":""2026-07-23T00:55:48.660Z"",""amount"":193.67,""merchant"":""Magazine Luiza"",""type"":""CREDIT""},{""id"":""3318a8f0-2415-435d-9d38-920b312a5cc9"",""date"":""2026-07-20T00:55:48.657Z"",""amount"":290.51,""merchant"":""Netflix"",""type"":""CREDIT""},{""id"":""853552af-7955-4354-b4b5-5b220ab46f02"",""date"":""2026-07-19T00:55:48.653Z"",""amount"":387.34,""merchant"":""Magazine Luiza"",""type"":""CREDIT""}]",0.00,
1238713e-8f89-468d-9c56-3f14878f4072,37107075012,FECHADA,2026-07-19T18:00:00.000Z,2026-08-03T23:33:05.422Z,2026-08-20T03:00:06.236Z,3870.86,,32,0.00,77.42,,0.00,19.47,297.86,19.33,"[{""id"":""a65909a4-f79b-4459-b70d-461a95c644d3"",""date"":""2026-07-08T15:00:00.000Z"",""amount"":1720.38,""merchant"":""Netflix"",""type"":""CREDIT""},{""id"":""0e966e56-099f-4163-92c2-2163bfcb0a06"",""date"":""2026-07-07T15:00:00.000Z"",""amount"":1290.29,""merchant"":""Farmacia Pague Menos"",""type"":""CREDIT""},{""id"":""eef7ad71-5c9c-4a8f-a093-f34515e5914b"",""date"":""2026-07-07T15:00:00.000Z"",""amount"":860.19,""merchant"":""Mercado Livre"",""type"":""CREDIT""}]",0.00,
12da7589-d465-4219-bb42-290cedbd536f,16266323249,FECHADA,2026-08-10T18:00:00.000Z,2026-08-04T00:02:52.920Z,2026-08-20T03:00:06.236Z,1305.98,,10,0.00,77.42,,3870.86,22.33,476.59,30.94,"[{""id"":""e34ab33b-0f8b-43fb-b24a-b402fe9434ef"",""date"":""2026-07-25T00:55:44.084Z"",""amount"":166.98,""merchant"":""Zara"",""type"":""CREDIT""},{""id"":""559572d8-cbc6-4abe-aee6-7bd538945a37"",""date"":""2026-07-24T00:55:44.089Z"",""amount"":111.32,""merchant"":""Uber"",""type"":""CREDIT""},{""id"":""86e6fe7b-89c8-4db6-8a4e-d0715f09c050"",""date"":""2026-07-22T00:55:44.080Z"",""amount"":222.64,""merchant"":""Mercado Livre"",""type"":""CREDIT""},{""id"":""bbd7e7c8-0cea-4a15-a7bf-3d9a8e0793ae"",""date"":""2026-07-20T16:09:47.683Z"",""amount"":268.35,""merchant"":""Posto Shell"",""type"":""CREDIT""},{""id"":""38c4b57e-fb65-477a-ae8a-f11eb172a18f"",""date"":""2026-07-18T16:09:47.668Z"",""amount"":357.8,""merchant"":""Amazon BR"",""type"":""CREDIT""},{""id"":""ec688795-9dc1-45e8-9af9-117c6b738e3e"",""date"":""2026-07-17T16:09:47.688Z"",""amount"":178.89,""merchant"":""Uber"",""type"":""CREDIT""}]",0.00,
